Simulation,mean_queue_hub_time,mean_N_queue_hub,mean_service_hub_time,mean_response_hub_time,mean_N_centre_hub,hub_rho,mean_queue_red_time,mean_N_queue_red,mean_service_red_time,mean_response_red_time,mean_N_centre_red,red_rho,mean_queue_yellow_time,mean_N_queue_yellow,mean_service_yellow_time,mean_response_yellow_time,mean_N_centre_yellow,yellow_rho,mean_queue_green_time,mean_N_queue_green,mean_service_green_time,mean_response_green_time,mean_N_centre_green,green_rho
232,0.0,0.0,1.3837419843777783,1.3837419843777783,0.011943011174689157,0.005971505587344579,10.441191907195426,0.04350496627998095,56.97538496059647,67.41657686779189,0.28090240361579955,0.23739743733581864,15.08508328070322,0.03890993703355989,82.74091127107755,97.82599455178077,0.2523289542010218,0.21341901716746192,0.0,0.0,128.11278111807187,128.11278111807187,0.11438641171256415,0.11438641171256415
233,0.0,0.0,1.5456996294915704,1.5456996294915704,0.012574143811340156,0.006287071905670078,19.997394987893465,0.08927408476738154,66.68798835153217,86.68538333942564,0.38698831847957876,0.2977142337121972,32.84536916733927,0.05213550661482424,99.21690553835839,132.06227470569766,0.20962265826301216,0.1574871516481879,1.2190626723856688,0.0013303263289922973,140.11786332167148,141.33692599405714,0.15423672479510203,0.15290639846610973
234,0.0,0.0,1.6195455153886804,1.6195455153886804,0.012853535836418099,0.0064267679182090495,11.630751111729891,0.054230684747153264,51.69992589943061,63.330677011160496,0.29529184717505397,0.24106116242790065,21.731645445892756,0.03665059251787469,62.719273556380266,84.45091900227303,0.14242714514272237,0.10577655262484767,0.0,0.0,250.38433991954395,250.38433991954395,0.17387801383301663,0.17387801383301663
235,0.0,0.0,1.4238564696101896,1.4238564696101896,0.011865470580084914,0.005932735290042457,8.630425350996513,0.04024107058500358,54.21531557398633,62.84574092498285,0.29303073645577316,0.2527896658707696,17.116995414757703,0.023773604742719032,72.65303048213455,89.77002589689225,0.12468059152346146,0.10090698678074245,7.258143855024429,0.011520863261943537,172.0443400983252,179.30248395334962,0.28460711738626926,0.2730862541243257
236,0.0,0.0,1.375375077988664,1.375375077988664,0.011870796804068825,0.005935398402034412,14.393256886754525,0.06425561110158269,67.45001249081302,81.84326937756755,0.3653717382927123,0.3011161271911296,26.050162223653615,0.05943985428016202,92.9299619802973,118.98012420395091,0.27148242625901503,0.21204257197885296,1.2081020981258916,0.0005992569931180018,211.17179194790265,212.37989404602854,0.10534716966568876,0.10474791267257076
237,0.0,0.0,1.2934501824414084,1.2934501824414084,0.011292025402266264,0.005646012701133132,13.324398783675006,0.06477138297619794,66.49540874719558,79.81980753087059,0.38801295327506535,0.3232415702988674,17.40806684683176,0.036266805930899496,88.52714326617601,105.93521011300776,0.22069835440209953,0.18443154847120002,0.0,0.0,247.9100652015415,247.9100652015415,0.1967540200012234,0.1967540200012234
238,0.0,0.0,1.4743573648001376,1.4743573648001376,0.012286311373334479,0.0061431556866672395,4.585955851736416,0.020018061257579593,51.320357711115086,55.9063135628515,0.24403549571085972,0.22401743445328012,15.845422652224523,0.026723431060299296,95.74336964933588,111.58879230156039,0.18819538384191734,0.16147195278161805,0.0,0.0,93.69688914223354,93.69688914223354,0.13013456825310216,0.13013456825310216
239,0.0,0.0,1.5537162712500225,1.5537162712500225,0.013564189669643054,0.006782094834821527,20.020475114389065,0.09930791227375528,52.85181280163952,72.87228791602858,0.36146968212315767,0.26216176984940237,27.764496521985293,0.06335152976246644,97.98654475089891,125.75104127288422,0.28693193941233497,0.22358040964986856,6.4986502436365,0.0038682441926407734,191.67417899967782,198.17282924331434,0.11796001740673472,0.11409177321409394
240,0.0,0.0,1.6056389947070846,1.6056389947070846,0.013698904121508856,0.006849452060754428,13.898687638784226,0.05929003655433747,63.510533668200374,77.40922130698459,0.3302179083532081,0.2709278717988706,60.4623814368811,0.1499563031668678,59.515099926455186,119.9774813633363,0.29756319782573487,0.14760689465886703,0.0,0.0,103.75545158693963,103.75545158693963,0.08234559649757113,0.08234559649757113
241,0.0,0.0,1.391911137279156,1.391911137279156,0.01008030883148595,0.005040154415742975,39.23573353449694,0.16348222306040391,63.14398709853024,102.37972063302719,0.42658216930427995,0.263099946243876,56.64002547167126,0.12361910321198091,89.62467026166365,146.26469573333492,0.31922850259259605,0.19560939938061514,0.0,0.0,203.80901919796347,203.80901919796347,0.10109574364978346,0.10109574364978346
242,0.0,0.0,1.5462760385316956,1.5462760385316956,0.011965231250542881,0.005982615625271441,9.296194270257743,0.02858948634702282,66.22323188297722,75.51942615323497,0.23225220344744876,0.20366271710042594,110.1569482603267,0.3387763289752111,103.41065819408404,213.5676064544107,0.6568051388974933,0.3180288099222822,0.0,0.0,182.83228102102427,182.83228102102427,0.14510498493732085,0.14510498493732085
243,0.0,0.0,1.6034318844186477,1.6034318844186477,0.01193029675906732,0.00596514837953366,3.2899764907322964,0.011423529481709362,57.4315636459257,60.721540136657985,0.21083868103006245,0.1994151515483531,35.063480420436534,0.06957039765959629,58.250826996036025,93.31430741647256,0.18514743535014397,0.11557703769054767,0.0,0.0,116.04535690181324,116.04535690181324,0.16117410680807395,0.16117410680807395
244,0.0,0.0,1.6022828874688022,1.6022828874688022,0.013988183938219701,0.0069940919691098506,12.939464474609375,0.059049143435717384,54.48798266912137,67.42744714373075,0.30770461990194586,0.2486554764662285,52.083263291837675,0.11367378893059811,89.8025909127213,141.88585420455897,0.30967150719248987,0.19599771826189172,0.0,0.0,151.84862298124077,151.84862298124077,0.10545043262586164,0.10545043262586164
245,0.0,0.0,1.5401599415205718,1.5401599415205718,0.013904221694282938,0.006952110847141469,17.0924894344073,0.07800143987923966,67.29634937171566,84.38883880612296,0.3851077961390532,0.3071063562598136,34.25965256816441,0.08836815146550345,84.49544520036837,118.75509776853278,0.30631275218073933,0.21794460071523586,0.0,0.0,318.34732101982695,318.34732101982695,0.34740283047798576,0.34740283047798576
246,0.0,0.0,1.7547451139048018,1.7547451139048018,0.01601553080151208,0.00800776540075604,33.38833555624773,0.14905506944753452,62.2156442961917,95.60397985243942,0.42680348148410463,0.2777484120365701,2.7724387068340546,0.005500870450067569,59.1351498755155,61.90758858234956,0.12283251702847135,0.11733164657840378,0.0,0.0,139.94041219547233,139.94041219547233,0.1804787062044782,0.1804787062044782
247,0.0,0.0,1.3098963270320625,1.3098963270320625,0.011435602855041816,0.005717801427520908,16.676298181686473,0.07444775973967176,78.06496146203385,94.74125964372033,0.42295205198089436,0.34850429224122254,89.64930935200768,0.1956631751730326,72.12591264902807,161.77522200103573,0.3530808416689272,0.1574176664958946,0.0,0.0,204.05407609920562,204.05407609920562,0.16194767944381397,0.16194767944381397
248,0.0,0.0,1.2183287489719885,1.2183287489719885,0.010877935258678468,0.005438967629339234,18.869595598058652,0.07300736392106026,63.19902637074585,82.0686219688045,0.3175274064269222,0.2445200425058619,42.02253928684149,0.1250670812108378,67.82072013210545,109.84325941894694,0.32691446255638973,0.20184738134555194,14.068377690881244,0.013956723899683773,155.9910209845844,170.05939867546562,0.16870972090820002,0.15475299700851625
249,0.0,0.0,1.4435009162926433,1.4435009162926433,0.011599560934494456,0.005799780467247228,26.916170394402638,0.10146968997889884,71.18922647350752,98.10539686791016,0.36984177390680417,0.26837208392790535,12.974994696612539,0.03218004637056681,91.70926923794927,104.6842639345618,0.25963359110754414,0.22745354473697735,5.165930243443005,0.0035874515579465307,166.32397338842506,171.4899036318681,0.11909021085546394,0.11550275929751741
250,0.0,0.0,1.4007522748203414,1.4007522748203414,0.014035315452068898,0.007017657726034449,7.70735807778335,0.03134937313384101,52.767242359382,60.47460043716535,0.24597803749243843,0.21462866435859743,42.46576010677581,0.1390248098733732,105.0936777606759,147.55943786745172,0.4830814930184431,0.34405668314506993,5.67379256733331,0.007880267454629598,183.5797682177053,189.25356078503862,0.26285216775699805,0.25497190030236844
